date,bytesIn,bytesOut,packetsIn,packetsOut,applicationName,destinationAddress,protocolNumber,sourceAddress
7/13/2018 6:59:01.000000000 PM,5051,0,5,0,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:00:01.000000000 PM,5051,0,5,0,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:00:01.000000000 PM,5051,0,5,0,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:01:01.000000000 PM,0,70195,0,436,,mail.c2.local_111.16.2.2,,g1.inside.local_192.168.1.1
7/13/2018 7:01:01.000000000 PM,0,70195,0,436,Xml-Ipc Server Reg,mail.c2.local_111.16.2.2,6,g1.inside.local_192.168.1.1
7/13/2018 7:02:01.000000000 PM,44200,36904,12,698,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 7:02:01.000000000 PM,44200,36904,12,698,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 7:04:01.000000000 PM,0,328,0,1,,192.168.0.1,,router.c2.local_111.16.2.11
7/13/2018 7:04:01.000000000 PM,0,328,0,1,Bootstrap Protocol Server,192.168.0.1,17,router.c2.local_111.16.2.11
7/13/2018 7:06:01.000000000 PM,20973,3402,28,18,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:06:01.000000000 PM,20973,3402,28,18,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:08:01.000000000 PM,0,35113,0,669,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 7:08:01.000000000 PM,0,35113,0,669,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 7:11:01.000000000 PM,0,134,0,2,,192.168.0.2,,router.c2.local_111.16.2.11
7/13/2018 7:11:01.000000000 PM,0,134,0,2,Domain Name Server,192.168.0.2,17,router.c2.local_111.16.2.11
7/13/2018 7:12:01.000000000 PM,20311,3402,22,18,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:12:01.000000000 PM,20311,3402,22,18,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:16:01.000000000 PM,25257,3402,25,18,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:16:01.000000000 PM,25257,3402,25,18,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:18:01.000000000 PM,0,21809,0,300,,g1.inside.local_192.168.1.1,,router.c2.local_111.16.2.11
7/13/2018 7:18:01.000000000 PM,0,21809,0,300,The Secure Shell (SSH) Protocol,g1.inside.local_192.168.1.1,6,router.c2.local_111.16.2.11
7/13/2018 7:19:00.000000000 PM,12110,0,6,0,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 7:19:00.000000000 PM,12110,0,6,0,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 7:21:01.000000000 PM,35526,18162,38,326,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:21:01.000000000 PM,35526,18162,38,326,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:25:01.000000000 PM,3195,0,6,0,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 7:25:01.000000000 PM,3195,0,6,0,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 7:26:01.000000000 PM,1533403,18378,295,330,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:26:01.000000000 PM,1533403,18378,295,330,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:31:01.000000000 PM,1833671,216,422,4,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:31:01.000000000 PM,1833671,216,422,4,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:35:01.000000000 PM,65208,0,12,0,,store.c2.local_111.16.2.22,,g1.inside.local_192.168.1.1
7/13/2018 7:35:01.000000000 PM,65208,0,12,0,Sun Proxy Admin Service,store.c2.local_111.16.2.22,6,g1.inside.local_192.168.1.1
7/13/2018 7:36:01.000000000 PM,1504115,18058,370,324,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:36:01.000000000 PM,1504115,18058,370,324,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:39:01.000000000 PM,1776,0,15,0,,mail.c2.local_111.16.2.2,,g1.inside.local_192.168.1.1
7/13/2018 7:39:01.000000000 PM,1776,0,15,0,Xml-Ipc Server Reg,mail.c2.local_111.16.2.2,6,g1.inside.local_192.168.1.1
7/13/2018 7:41:01.000000000 PM,2394872,18058,793,324,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:41:01.000000000 PM,2394872,18058,793,324,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:44:01.000000000 PM,3118,0,36,0,,manager.c2.local,,router.c2.local_111.16.2.11
7/13/2018 7:44:01.000000000 PM,3118,0,36,0,SNMP,manager.c2.local,17,router.c2.local_111.16.2.11
7/13/2018 7:46:01.000000000 PM,0,76,0,1,,tesla.selinc.com,,router.c2.local_111.16.2.11
7/13/2018 7:46:01.000000000 PM,0,76,0,1,Network Time Protocol,tesla.selinc.com,17,router.c2.local_111.16.2.11
7/13/2018 7:47:01.000000000 PM,2990891,0,921,0,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:47:01.000000000 PM,2990891,0,921,0,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:48:01.000000000 PM,0,337520,0,1419,,g1.inside.local_192.168.1.1,,router.c2.local_111.16.2.11
7/13/2018 7:48:01.000000000 PM,0,337520,0,1419,The Secure Shell (SSH) Protocol,g1.inside.local_192.168.1.1,6,router.c2.local_111.16.2.11
7/13/2018 7:51:01.000000000 PM,2389473,0,671,0,,web.server.local,,g1.inside.local_192.168.1.1
7/13/2018 7:51:01.000000000 PM,2389473,0,671,0,iXYZI,web.server.local,6,g1.inside.local_192.168.1.1
7/13/2018 7:53:01.000000000 PM,0,76,0,1,,mis.wci.com,,router.c2.local_111.16.2.11
7/13/2018 7:53:01.000000000 PM,0,76,0,1,Network Time Protocol,mis.wci.com,17,router.c2.local_111.16.2.11
7/13/2018 7:55:01.000000000 PM,0,105,0,1,,192.168.0.2,,router.c2.local_111.16.2.11
7/13/2018 7:55:01.000000000 PM,0,105,0,1,Domain Name Server,192.168.0.2,17,router.c2.local_111.16.2.11
7/13/2018 7:57:01.000000000 PM,0,328,0,1,,192.168.0.1,,router.c2.local_111.16.2.11
7/13/2018 7:57:01.000000000 PM,0,328,0,1,Bootstrap Protocol Server,192.168.0.1,17,router.c2.local_111.16.2.11
7/14/2018 2:50:08.000000000 PM,1800320,0,9004,0,,ops.inside.local,,basement.inside.local
7/14/2018 2:50:08.000000000 PM,1800000,0,9000,0,Connected Corp,ops.inside.local,17,basement.inside.local
7/14/2018 2:50:08.000000000 PM,320,0,4,0,SNS Quote,ops.inside.local,17,basement.inside.local
7/14/2018 2:50:56.000000000 PM,728,0,13,0,,111.16.126.10,,basement.inside.local
7/14/2018 2:50:56.000000000 PM,728,0,13,0,,111.16.126.10,1,basement.inside.local
7/14/2018 2:51:16.000000000 PM,2600,0,25,0,,111.16.126.6,,basement.inside.local
7/14/2018 2:51:16.000000000 PM,2600,0,25,0,,111.16.126.6,1,basement.inside.local
7/14/2018 2:51:29.000000000 PM,288,0,4,0,,g1.inside.local_192.168.1.1,,basement.inside.local
7/14/2018 2:51:29.000000000 PM,288,0,4,0,,g1.inside.local_192.168.1.1,1,basement.inside.local
7/14/2018 2:51:54.000000000 PM,320,0,4,0,,bay.inside.local,,basement.inside.local
7/14/2018 2:51:54.000000000 PM,320,0,4,0,SNS Quote,bay.inside.local,17,basement.inside.local
7/14/2018 2:53:08.000000000 PM,300,0,3,0,,acc.inside.local,,basement.inside.local
7/14/2018 2:53:08.000000000 PM,300,0,3,0,,acc.inside.local,89,basement.inside.local
7/14/2018 2:53:20.000000000 PM,76640,0,881,0,,top.inside.local,,ospf-all.mcast.net
7/14/2018 2:53:20.000000000 PM,76640,0,881,0,,top.inside.local,89,ospf-all.mcast.net
7/14/2018 2:54:15.000000000 PM,400160,0,2002,0,,d3.inside.local,,basement.inside.local
7/14/2018 2:54:15.000000000 PM,400000,0,2000,0,Connected Corp,d3.inside.local,17,basement.inside.local
7/14/2018 2:54:15.000000000 PM,160,0,2,0,SNS Quote,d3.inside.local,17,basement.inside.local
7/14/2018 2:54:27.000000000 PM,3078,0,16,0,,111.22.22.155,,239.255.255.250
7/14/2018 2:54:27.000000000 PM,3078,0,16,0,SSDP,111.22.22.155,17,239.255.255.250
7/14/2018 2:55:41.000000000 PM,3690,0,24,0,,111.22.22.156,,239.255.255.250
7/14/2018 2:55:41.000000000 PM,3690,0,24,0,SSDP,111.22.22.156,17,239.255.255.250
7/14/2018 2:55:53.000000000 PM,0,119,0,1,,255.255.255.255,,WIFI_192.168.1.111
7/14/2018 2:55:53.000000000 PM,0,119,0,1,Remote Replication Agent Connection,255.255.255.255,17,WIFI_192.168.1.111
7/14/2018 2:58:27.000000000 PM,19656,0,189,0,,acc.inside.local,,ospf-all.mcast.net
7/14/2018 2:58:27.000000000 PM,19656,0,189,0,,acc.inside.local,89,ospf-all.mcast.net
7/14/2018 3:00:13.000000000 PM,1932,0,22,0,,acc.inside.local,,basement.inside.local
7/14/2018 3:00:13.000000000 PM,1932,0,22,0,,acc.inside.local,89,basement.inside.local
7/14/2018 3:00:25.000000000 PM,401284,0,2031,0,,bay.inside.local,,basement.inside.local
7/14/2018 3:00:25.000000000 PM,84,0,1,0,,bay.inside.local,89,basement.inside.local
7/14/2018 3:00:25.000000000 PM,398000,0,1990,0,Connected Corp,bay.inside.local,17,basement.inside.local
7/14/2018 3:00:25.000000000 PM,3200,0,40,0,SNS Quote,bay.inside.local,17,basement.inside.local
7/14/2018 3:00:40.000000000 PM,9803360,0,49042,0,,ops.inside.local,,basement.inside.local
7/14/2018 3:00:40.000000000 PM,9800000,0,49000,0,Connected Corp,ops.inside.local,17,basement.inside.local
7/14/2018 3:00:40.000000000 PM,3360,0,42,0,SNS Quote,ops.inside.local,17,basement.inside.local
7/14/2018 3:00:56.000000000 PM,4256,0,76,0,,111.16.126.10,,basement.inside.local
7/14/2018 3:00:56.000000000 PM,4256,0,76,0,,111.16.126.10,1,basement.inside.local
7/14/2018 3:01:29.000000000 PM,504,0,7,0,,g1.inside.local_192.168.1.1,,basement.inside.local
7/14/2018 3:01:29.000000000 PM,504,0,7,0,,g1.inside.local_192.168.1.1,1,basement.inside.local
7/14/2018 3:02:56.000000000 PM,16308,0,27,0,,0.0.0.0,,255.255.255.255
7/14/2018 3:02:56.000000000 PM,16308,0,27,0,Bootstrap Protocol Server,0.0.0.0,17,255.255.255.255
